Name	WikipediaLink	Source
Cornwallis 2	https://en.wikipedia.org/wiki/Charles_Cornwallis,_1st_Marquess_Cornwallis	md
Microphone	https://en.wikipedia.org/wiki/Microphone	md
Oersted, Hans C	https://en.wikipedia.org/wiki/Hans_Christian_%C3%98rsted	md
Berkman A	https://en.wikipedia.org/wiki/Alexander_Berkman	md
Cornwallis	https://en.wikipedia.org/wiki/Charles_Cornwallis,_1st_Marquess_Cornwallis	md
camera obscura	https://en.wikipedia.org/wiki/Camera_obscura	md
US Civil War	https://en.wikipedia.org/wiki/American_Civil_War	md
Charlemagne	https://en.wikipedia.org/wiki/Charlemagne	md
Buchan, John	https://en.wikipedia.org/wiki/John_Buchan	md
Blood Typing	https://en.wikipedia.org/wiki/Blood_type	md
Bentham S	https://en.wikipedia.org/wiki/Samuel_Bentham	md
Aretino, P	https://en.wikipedia.org/wiki/Pietro_Aretino	md
Scotch Tape	https://en.wikipedia.org/wiki/Scotch_Tape	md
Mondrian	https://en.wikipedia.org/wiki/Piet_Mondrian	md
Brownian motion	https://en.wikipedia.org/wiki/Brownian_motion	md
Neodymium	https://en.wikipedia.org/wiki/Neodymium	md
Keats	https://en.wikipedia.org/wiki/John_Keats	md
Pepys, Samuel	https://en.wikipedia.org/wiki/Samuel_Pepys	md
Bell AG 2	https://en.wikipedia.org/wiki/Alexander_Graham_Bell	md
Rothschild LN	https://en.wikipedia.org/wiki/Lionel_de_Rothschild	md
X-ray diffraction	https://en.wikipedia.org/wiki/X-ray_crystallography	md
Beaumarchais 2	https://en.wikipedia.org/wiki/Pierre_Beaumarchais	md
Nylon	https://en.wikipedia.org/wiki/	md
Szilard	https://en.wikipedia.org/wiki/Leo_Szilard	md
Picasso, Pablo	https://en.wikipedia.org/wiki/Pablo_Picasso	md
pressure cooker	https://en.wikipedia.org/wiki/Pressure_cooking	md
Hunt WH	https://en.wikipedia.org/wiki/William_Holman_Hunt	md
Robin Hood	https://en.wikipedia.org/wiki/Robin_Hood	md
Koenig S	https://en.wikipedia.org/wiki/Johann_Samuel_K%C3%B6nig	md
Russell, Bertrand	https://en.wikipedia.org/wiki/Bertrand_Russell	md
Whitney, E	https://en.wikipedia.org/wiki/Eli_Whitney	md
Bolshoi	https://en.wikipedia.org/wiki/Bolshoi_Theatre	md
Bardeen 2	https://en.wikipedia.org/wiki/John_Bardeen	md
Morse, S 2	https://en.wikipedia.org/wiki/Samuel_Morse	md
Lazarus, E 2	https://en.wikipedia.org/wiki/Emma_Lazarus	md
Byers, James	https://en.wikipedia.org/wiki/James_Byres	md
fungicide	https://en.wikipedia.org/wiki/Fungicide	md
Verne, Jules	https://en.wikipedia.org/wiki/Jules_Verne	md
Franck, James	https://en.wikipedia.org/wiki/James_Franck	md
pascal unit	https://en.wikipedia.org/wiki/Pascal_(unit	md
Woodrow Wilson Pres 2	https://en.wikipedia.org/wiki/Woodrow_Wilson	md
Gandhi	https://en.wikipedia.org/wiki/Mahatma_Gandhi	md
Massenet	https://en.wikipedia.org/wiki/Jules_Massenet	md
Keeling C: Keeling Curve	https://en.wikipedia.org/wiki/Charles_David_Keeling	md
Anthracene	https://en.wikipedia.org/wiki/Anthracene	md
Mail / Postal System	https://en.wikipedia.org/wiki/Mail	md
Serendipity / Accident	https://en.wikipedia.org/wiki/Serendipity	md
Balfour, Arthur	https://en.wikipedia.org/wiki/Arthur_Balfour	md
Wellington, Duke of	https://en.wikipedia.org/wiki/Arthur_Wellesley,_1st_Duke_of_Wellington	md
Fairbanks, Douglas 2	https://en.wikipedia.org/wiki/Douglas_Fairbanks	md
More Sir T	https://en.wikipedia.org/wiki/Thomas_More	md
Lee, Robert E	https://en.wikipedia.org/wiki/Robert_E._Lee	md
Cordus V	https://en.wikipedia.org/wiki/Valerius_Cordus	md
Regnault	https://en.wikipedia.org/wiki/Henri_Victor_Regnault	md
Shakespeare	https://en.wikipedia.org/wiki/William_Shakespeare	md
Archer, Wm	https://en.wikipedia.org/wiki/William_Archer_(critic	md
Glidden J	https://en.wikipedia.org/wiki/Carlos_Glidden	md
balloon	https://en.wikipedia.org/wiki/Balloon	md
Statue of Liberty	https://en.wikipedia.org/wiki/Statue_of_Liberty	md
Greene, Catherine	https://en.wikipedia.org/wiki/Catharine_Littlefield_Greene	md
Hammond, Laurens	https://en.wikipedia.org/wiki/Laurens_Hammond	md
Smeathman, Henry	https://en.wikipedia.org/wiki/Henry_Smeathman	md
Jerome JK	https://en.wikipedia.org/wiki/Jerome_K._Jerome	md
Senebier	https://en.wikipedia.org/wiki/Jean_Senebier	md
Arnauld, A	https://en.wikipedia.org/wiki/Antoine_Arnauld	md
Romagnosi, Gian Domenico	https://en.wikipedia.org/wiki/Gian_Domenico_Romagnosi	md
Graphology	https://en.wikipedia.org/wiki/Graphology	md
Sartre	https://en.wikipedia.org/wiki/Jean-Paul_Sartre	md
Shelley, Percy B 2	https://en.wikipedia.org/wiki/Percy_Bysshe_Shelley	md
Transistor	https://en.wikipedia.org/wiki/Transistor	md
Anesthetic	https://en.wikipedia.org/wiki/Anesthetic	md
Prediction	https://en.wikipedia.org/wiki/Prediction	md
Tito	https://en.wikipedia.org/wiki/Josip_Broz_Tito	md
Bartholin T	https://en.wikipedia.org/wiki/Thomas_Bartholin	md
Du Chatelet	https://en.wikipedia.org/wiki/%C3%89milie_du_Ch%C3%A2telet	md
Hemingway	https://en.wikipedia.org/wiki/Ernest_Hemingway	md
Larrey D-J	https://en.wikipedia.org/wiki/Dominique_Jean_Larrey	md
Ziegfeld Follies	https://en.wikipedia.org/wiki/Ziegfeld_Follies	md
Babbitt I	https://en.wikipedia.org/wiki/Irving_Babbitt	md
Printing	https://en.wikipedia.org/wiki/Printing_press	md
Brongniart Alexandre	https://en.wikipedia.org/wiki/Alexandre_Brongniart	md
Battery	https://en.wikipedia.org/wiki/Electric_battery	md
Joseph Paxton	https://en.wikipedia.org/wiki/Joseph_Paxton	md
Evans Sir A	https://en.wikipedia.org/wiki/Arthur_Evans	md
Vail, Alfred	https://en.wikipedia.org/wiki/Alfred_Vail	md
Hopkins FG	https://en.wikipedia.org/wiki/Frederick_Gowland_Hopkins	md
Post-it Note	https://en.wikipedia.org/wiki/Post-it_Note	md
Rubber	https://en.wikipedia.org/wiki/Natural_rubber	md
Adler, Jacob	https://en.wikipedia.org/wiki/Jacob_Pavlovich_Adler	md
Kekule	https://en.wikipedia.org/wiki/August_Kekul%C3%A9	md
Global Warming	https://en.wikipedia.org/wiki/Climate_change	md
Carter, Elizabeth	https://en.wikipedia.org/wiki/Elizabeth_Carter	md
Royal Society 2	https://en.wikipedia.org/wiki/Royal_Society	md
Devol, George	https://en.wikipedia.org/wiki/George_Devol	md
Pound	https://en.wikipedia.org/wiki/Ezra_Pound	md
Rutherford 2	https://en.wikipedia.org/wiki/Ernest_Rutherford	md
Potemkin	https://en.wikipedia.org/wiki/Grigory_Potemkin	md
Spectroscope	https://en.wikipedia.org/wiki/Spectroscopy	md
Decatur, S	https://en.wikipedia.org/wiki/Stephen_Decatur	md
Einstein	https://en.wikipedia.org/wiki/Albert_Einstein	md
Pissarro	https://en.wikipedia.org/wiki/Camille_Pissarro	md
Boissier de Sauvages	https://en.wikipedia.org/wiki/Fran%C3%A7ois_Boissier_de_Sauvages_de_Lacroix	md
Fahrenheit, DG	https://en.wikipedia.org/wiki/Daniel_Gabriel_Fahrenheit	md
Bush, V 2	https://en.wikipedia.org/wiki/Vannevar_Bush	md
Auden WH	https://en.wikipedia.org/wiki/W._H._Auden	md
Hegel	https://en.wikipedia.org/wiki/Georg_Wilhelm_Friedrich_Hegel	md
Parker, Dorothy	https://en.wikipedia.org/wiki/Dorothy_Parker	md
oscilloscope	https://en.wikipedia.org/wiki/Oscilloscope	md
Online banking	https://en.wikipedia.org/wiki/Online_banking	md
Chevreul, Michel	https://en.wikipedia.org/wiki/Michel_Eug%C3%A8ne_Chevreul	md
Amundsen	https://en.wikipedia.org/wiki/Roald_Amundsen	md
Langley, SP	https://en.wikipedia.org/wiki/Samuel_Langley	md
Rubinstein, Ida	https://en.wikipedia.org/wiki/Ida_Rubinstein	md
von Miller, Oskar	https://en.wikipedia.org/wiki/Oskar_von_Miller	md
Encyclopedia Britannica	https://en.wikipedia.org/wiki/Encyclop%C3%A6dia_Britannica	md
Smellie W	https://en.wikipedia.org/wiki/William_Smellie_%28encyclopedist%29	md
Buxtehude	https://en.wikipedia.org/wiki/Dieterich_Buxtehude	md
Henry, Patrick	https://en.wikipedia.org/wiki/Patrick_Henry	md
Earp, Wyatt	https://en.wikipedia.org/wiki/Wyatt_Earp	md
Nasi	https://en.wikipedia.org/wiki/Joseph_Nasi	md
Devonshire, Georgiana Duchess of	https://en.wikipedia.org/wiki/Georgiana_Cavendish,_Duchess_of_Devonshire	md
Audubon 2	https://en.wikipedia.org/wiki/John_James_Audubon	md
Coffee	https://en.wikipedia.org/wiki/Coffee	md
AI Artificial Intelligence	https://en.wikipedia.org/wiki/History_of_artificial_intelligence	md
Leger	https://en.wikipedia.org/wiki/Fernand_L%C3%A9ger	md
Mallarme	https://en.wikipedia.org/wiki/St%C3%A9phane_Mallarm%C3%A9	md
Gould, Jay 2	https://en.wikipedia.org/wiki/Jay_Gould	md
Burgi, Joost	https://en.wikipedia.org/wiki/Jost_B%C3%BCrgi	md
Tsar Nicholas I	https://en.wikipedia.org/wiki/Nicholas_I_of_Russia	md
Roosevelt FD	https://en.wikipedia.org/wiki/Franklin_D._Roosevelt	md
Ellery, William	https://en.wikipedia.org/wiki/William_Ellery	md
Lazarus, Emma	https://en.wikipedia.org/wiki/Emma_Lazarus	md
Psychoanalysis	https://en.wikipedia.org/wiki/Psychoanalysis	md
Fleming A 2	https://en.wikipedia.org/wiki/Alexander_Fleming	md
Hawking, Stephen	https://en.wikipedia.org/wiki/Stephen_Hawking	md
Coherer	https://en.wikipedia.org/wiki/Coherer	md
Glinka	https://en.wikipedia.org/wiki/Mikhail_Glinka	md
Tank	https://en.wikipedia.org/wiki/Tank	md
Factor, M	https://en.wikipedia.org/wiki/Max_Factor_Jr.	md
Frankfurter, Felix	https://en.wikipedia.org/wiki/Felix_Frankfurter	md
Brahe	https://en.wikipedia.org/wiki/Tycho_Brahe	md
Sir John Herschel 2	https://en.wikipedia.org/wiki/John_Herschel	md
Betjeman J	https://en.wikipedia.org/wiki/John_Betjeman	md
Kandinsky	https://en.wikipedia.org/wiki/Wassily_Kandinsky	md
